@relation nom_testhmm
@attribute Seq_000  {W,S,C}
@attribute Seq_001  {W,S,C}
@attribute Seq_002  {W,S,C}
@attribute Seq_003  {W,S,C}
@attribute Seq_004  {W,S,C}
@attribute Seq_005  {W,S,C}
@attribute Seq_006  {W,S,C}
@attribute Seq_007  {W,S,C}
@attribute Seq_008  {W,S,C}
@attribute Seq_009  {W,S,C}
@attribute Seq_010  {W,S,C}
@attribute Seq_011  {W,S,C}
@attribute Seq_012  {W,S,C}
@attribute Seq_013  {W,S,C}
@attribute Seq_014  {W,S,C}
@attribute Seq_015  {W,S,C}
@attribute Seq_016  {W,S,C}
@attribute Seq_017  {W,S,C}
@attribute Seq_018  {W,S,C}
@attribute Seq_019  {W,S,C}
@attribute Seq_020  {W,S,C}
@attribute Seq_021  {W,S,C}
@attribute Seq_022  {W,S,C}
@attribute Seq_023  {W,S,C}
@attribute Seq_024  {W,S,C}
@attribute Seq_025  {W,S,C}
@attribute Seq_026  {W,S,C}
@attribute Seq_027  {W,S,C}
@attribute Seq_028  {W,S,C}
@attribute Seq_029  {W,S,C}
@attribute Seq_030  {W,S,C}
@attribute Seq_031  {W,S,C}
@attribute Seq_032  {W,S,C}
@attribute Seq_033  {W,S,C}
@attribute Seq_034  {W,S,C}
@attribute Seq_035  {W,S,C}
@attribute Seq_036  {W,S,C}
@attribute Seq_037  {W,S,C}
@attribute Seq_038  {W,S,C}
@attribute Seq_039  {W,S,C}
@attribute Seq_040  {W,S,C}
@attribute Seq_041  {W,S,C}
@attribute Seq_042  {W,S,C}
@attribute Seq_043  {W,S,C}
@attribute Seq_044  {W,S,C}
@attribute Seq_045  {W,S,C}
@attribute Seq_046  {W,S,C}
@attribute Seq_047  {W,S,C}
@attribute Seq_048  {W,S,C}
@attribute Seq_049  {W,S,C}
@attribute Class {C0,C1,C2,C3}

@data
S,C,C,W,C,S,C,W,W,C,C,C,S,C,W,W,W,W,S,C,S,S,W,C,C,C,W,C,C,C,S,W,C,C,S,W,W,C,W,C,S,S,W,S,C,C,S,C,C,W,C0
C,W,W,W,W,W,W,W,W,W,W,W,W,S,S,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,S,S,C,C,C,W,C,W,W,W,W,W,W,W,W,W,C1
C,S,W,W,S,W,S,W,W,S,W,S,S,C,S,S,C,C,C,W,C,W,W,W,W,W,W,W,W,W,S,W,W,W,W,S,W,W,W,W,W,S,S,W,W,W,W,S,S,S,C2
S,W,W,W,S,S,S,S,W,W,C,S,W,W,W,W,S,W,W,C,W,S,S,W,S,S,S,W,W,S,S,C,W,W,W,W,S,W,S,W,W,C,W,C,W,S,W,S,W,W,C3
C,C,C,W,W,W,S,S,S,S,S,W,S,W,W,S,W,W,S,S,W,S,W,W,W,W,W,W,W,S,W,W,W,W,C,W,S,W,W,W,S,W,W,S,W,W,W,W,W,W,C3
C,C,C,C,C,S,S,C,C,S,W,S,S,S,S,W,S,W,S,W,W,W,S,W,C,C,C,C,C,S,W,C,S,W,S,W,W,S,S,S,S,S,S,S,W,C,W,W,S,S,C0
W,W,S,S,C,W,C,C,W,C,W,W,S,W,W,W,C,S,W,W,W,W,W,W,W,S,C,C,S,C,C,S,C,W,W,W,W,C,C,S,C,W,S,C,C,S,C,C,S,W,C1
S,C,S,W,W,W,S,W,S,W,W,W,S,S,S,W,S,S,S,C,W,W,S,W,S,W,S,W,S,W,S,S,W,W,W,S,S,S,W,W,W,C,W,S,S,S,S,W,W,W,C2
S,S,S,C,W,S,C,S,W,C,C,W,S,W,S,C,S,S,S,W,S,W,C,S,C,S,C,S,S,C,C,W,C,S,S,W,C,S,W,S,S,W,S,C,C,C,S,C,W,W,C0
W,S,W,S,S,W,S,C,W,S,W,W,S,W,W,W,W,S,S,W,W,W,W,S,W,S,C,W,W,W,C,S,W,W,S,C,W,W,W,S,C,W,S,W,W,W,W,S,S,S,C3
S,W,S,W,W,W,W,W,W,S,W,W,S,W,W,C,W,C,W,C,S,W,S,C,W,S,W,S,S,W,W,W,W,W,W,W,W,S,W,C,W,C,C,S,W,W,W,W,S,C,C2
W,S,C,W,W,C,W,W,W,S,W,C,W,W,S,C,C,W,W,W,C,W,C,C,W,W,S,W,W,W,W,W,C,C,W,C,C,C,W,W,W,W,C,W,S,C,C,W,C,C,C1
W,S,C,C,S,W,S,C,S,W,C,W,S,W,W,W,W,S,C,W,S,W,W,W,S,S,W,S,W,W,W,S,W,C,W,W,W,W,W,W,W,W,W,W,W,C,W,W,W,W,C3
C,S,W,C,W,C,W,S,W,W,W,C,C,C,W,W,W,C,W,W,W,S,W,W,W,W,S,W,W,S,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,C,S,C,C1
C,C,W,W,W,S,S,S,S,C,S,S,S,W,W,S,S,W,C,C,C,S,W,S,W,W,W,W,C,S,C,W,S,W,C,W,W,W,S,C,S,W,S,W,C,W,S,S,W,S,C0
S,C,C,W,W,S,S,S,W,S,C,S,C,W,W,W,C,W,W,W,W,W,S,W,S,W,C,W,W,W,W,S,W,C,W,W,S,S,W,W,S,W,S,W,W,W,W,W,W,C,C3
W,W,C,S,S,S,S,C,S,C,C,C,C,W,W,S,S,C,S,S,W,W,C,C,C,S,S,S,C,W,C,C,S,C,S,C,C,W,C,W,W,W,C,C,C,C,C,C,S,W,C0
S,W,S,S,W,W,S,S,W,W,W,S,S,W,C,C,W,C,W,S,W,C,S,S,W,C,W,W,W,W,W,S,W,W,S,W,C,W,S,W,S,S,W,W,S,W,C,W,C,W,C3
W,S,W,W,W,W,S,W,W,W,S,W,W,W,W,C,W,C,S,W,W,W,S,W,W,W,W,S,S,S,W,W,C,C,W,W,S,W,W,W,W,C,S,W,W,W,W,C,W,S,C2
W,W,W,C,W,W,W,W,C,W,W,S,C,C,W,C,C,W,S,S,W,S,C,S,W,S,W,W,W,W,S,S,C,C,W,C,W,W,S,W,W,C,C,S,C,C,W,C,C,C,C1
W,W,S,S,S,C,S,W,W,S,W,W,W,S,S,S,S,W,W,W,S,W,S,W,S,W,C,C,S,W,S,W,W,S,W,S,S,W,W,W,W,C,W,C,W,C,C,W,S,C,C2
W,W,C,C,S,C,S,W,C,C,W,W,W,S,S,W,S,S,W,C,C,C,C,S,C,S,C,C,C,C,C,W,S,C,W,W,W,W,W,W,W,W,S,S,C,C,C,C,W,W,C1
W,W,W,W,W,W,W,W,W,W,C,W,C,C,C,S,S,C,S,S,C,C,S,S,C,S,W,S,S,W,C,W,C,S,S,C,C,W,C,S,C,W,S,W,S,W,S,C,W,S,C1
C,W,W,S,S,C,S,S,W,S,W,S,S,W,W,W,W,W,W,W,W,S,W,W,S,W,W,S,S,S,S,W,S,W,S,S,S,W,W,S,W,W,W,W,W,W,W,W,W,W,C2
W,S,S,S,W,W,W,S,W,S,W,W,W,C,W,S,W,W,S,S,W,W,W,W,S,C,S,W,W,C,W,W,W,W,W,C,W,S,W,W,S,W,W,S,S,S,W,W,S,S,C2
W,C,W,S,W,W,W,W,W,W,W,W,W,C,W,C,W,S,W,S,C,W,S,S,W,W,W,W,S,W,W,C,C,C,W,W,C,S,S,C,C,W,C,W,S,C,S,W,S,C,C1
S,W,W,W,S,S,W,S,W,S,S,S,W,W,W,S,S,S,C,C,W,W,W,W,W,W,W,W,C,W,W,W,W,W,W,W,S,S,C,C,C,W,W,W,S,S,S,S,S,S,C3
S,C,S,C,W,W,C,C,C,W,W,C,C,C,W,S,S,W,S,W,W,W,W,W,C,W,W,C,W,C,W,S,S,S,C,W,C,W,W,S,W,W,W,S,W,W,C,S,C,W,C1
C,W,S,W,S,S,S,C,W,W,C,S,S,W,S,S,C,C,W,S,W,W,W,W,W,W,W,W,W,S,S,S,W,C,S,S,S,C,S,S,S,C,W,C,W,S,S,S,S,W,C1
W,S,S,S,W,W,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,C,W,W,C,W,S,S,C,W,W,W,S,C,C,S,S,S,S,C,C,W,S,C,C,C,C,W,C,C1
C,C,W,W,C,C,S,W,C,S,S,S,W,C,W,W,S,C,C,W,S,C,W,S,S,S,W,W,W,C,C,W,C,W,S,C,C,S,S,W,C,C,S,C,C,C,C,C,W,S,C0
W,W,W,W,S,S,C,C,S,W,W,W,S,S,W,W,W,S,W,C,S,W,S,W,W,W,W,S,W,W,W,W,S,W,W,S,W,W,C,W,W,W,W,W,S,W,W,W,W,S,C3
W,S,S,S,W,C,C,S,W,W,W,S,S,W,S,S,C,S,W,W,S,W,W,C,W,S,S,W,C,W,W,W,W,W,W,W,W,S,W,W,W,S,S,S,C,W,S,S,C,S,C2
W,W,W,W,W,C,W,C,W,C,C,C,C,W,S,W,C,W,W,W,W,C,W,W,W,W,W,W,W,W,W,C,S,C,C,W,W,S,W,W,W,W,W,W,W,W,C,W,W,W,C1
W,C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,C,S,C,S,S,C,S,S,W,W,W,W,S,S,S,S,W,S,W,W,W,W,W,S,S,C,C,W,C,C,W,S,C1
W,W,W,W,W,W,W,S,W,W,W,W,S,S,C,S,C,W,W,W,W,W,S,C,C,S,S,S,S,W,S,S,C,S,W,C,W,C,W,S,C,C,W,W,W,W,S,S,W,W,C1
C,S,S,C,C,S,C,S,C,S,S,C,C,W,C,S,W,S,C,W,W,W,S,S,C,S,C,W,W,C,C,S,S,C,W,C,C,C,S,C,S,W,C,S,S,S,C,C,C,S,C0
W,W,S,S,C,C,W,S,W,W,C,W,C,W,W,W,W,W,W,S,W,S,W,C,S,W,W,W,C,C,W,W,W,S,S,W,C,S,W,W,S,W,W,S,W,W,W,W,W,S,C3
S,S,C,C,C,S,W,W,S,S,C,W,W,C,C,S,W,W,W,W,W,S,S,S,S,C,S,C,C,S,S,S,S,C,W,S,S,S,S,S,S,S,W,S,S,C,C,W,S,S,C0
C,S,W,C,C,S,C,S,S,S,W,S,C,S,S,C,S,W,W,C,C,C,W,W,W,W,C,C,W,C,C,W,C,C,C,C,C,C,S,C,S,C,S,S,S,C,C,S,S,C,C0
W,W,C,C,C,S,S,S,C,W,C,W,C,S,C,C,C,W,W,C,C,C,W,C,S,S,S,C,W,W,C,W,W,S,C,C,C,S,C,W,S,W,C,C,W,C,C,C,C,C,C1
W,W,W,C,S,C,S,S,C,S,S,C,W,W,W,W,C,W,S,W,W,W,S,W,W,C,W,W,W,W,W,W,W,W,S,W,W,S,S,W,W,S,S,W,W,W,W,S,C,S,C3
W,W,W,W,W,S,W,S,S,S,S,S,W,W,W,C,W,W,W,W,W,W,S,W,S,S,W,S,S,S,W,C,W,W,W,S,W,W,W,W,W,S,W,W,W,W,S,W,S,W,C2
C,S,S,W,C,W,S,S,S,C,S,S,C,C,C,W,W,C,C,C,C,C,C,W,C,C,W,S,W,C,C,S,C,S,C,S,W,S,S,C,W,W,W,S,S,W,C,C,C,S,C1
W,W,W,C,C,C,S,S,S,W,S,C,S,W,C,S,W,C,W,S,W,C,C,W,C,C,W,C,S,S,W,W,W,W,W,C,W,W,C,C,S,C,C,C,W,C,C,W,W,W,C1
W,C,S,S,C,S,W,W,W,W,W,S,C,W,W,W,W,W,W,W,C,S,C,S,C,C,S,C,W,S,C,W,W,S,W,C,S,C,S,S,W,W,W,W,W,W,W,W,W,W,C1
W,W,S,S,W,W,C,W,S,W,W,C,C,C,W,C,S,W,C,S,S,C,C,W,C,S,S,C,C,C,S,W,S,W,S,W,W,W,W,W,S,W,S,W,S,C,S,C,C,C,C0
W,S,C,W,S,S,C,S,C,W,W,W,W,C,S,S,S,S,W,C,W,C,C,S,C,S,S,C,C,W,W,W,C,C,S,S,W,W,S,C,W,S,S,S,W,C,S,S,S,S,C0
W,S,C,C,W,S,W,C,W,S,W,W,C,S,W,W,S,W,W,W,W,S,W,W,C,W,W,S,W,W,W,C,S,W,W,W,C,W,W,W,S,W,W,S,C,S,W,W,W,S,C2
C,W,C,W,C,W,W,W,W,C,W,S,S,S,W,W,W,W,S,W,C,W,S,C,W,W,S,W,W,S,W,S,S,S,S,W,W,W,C,C,W,W,W,W,W,W,W,W,W,S,C2
C,W,C,C,W,C,C,C,S,S,S,C,S,C,C,W,W,W,W,S,W,W,S,C,C,W,W,W,W,W,W,C,S,S,C,C,W,C,S,S,W,C,C,C,S,W,W,S,S,C,C1
C,S,C,W,W,C,S,S,C,W,S,C,S,C,S,W,C,W,W,S,S,C,S,W,S,S,W,C,W,C,C,W,S,C,C,C,C,W,W,S,S,C,W,W,S,S,C,C,W,C,C1
C,C,C,W,W,C,W,W,W,S,W,S,W,S,C,C,W,S,C,W,C,S,S,C,W,C,W,W,W,W,C,C,W,C,S,C,S,C,S,W,C,S,W,S,S,W,C,S,S,C,C0
S,W,S,C,W,C,S,C,C,C,C,S,S,W,S,C,S,C,W,S,W,C,S,W,C,W,S,W,C,C,W,S,W,W,W,W,C,W,C,W,C,W,C,S,W,C,C,C,S,C,C1
S,W,S,S,S,W,W,S,S,C,W,C,W,S,W,W,W,W,S,S,C,S,S,W,W,S,W,W,W,S,W,S,W,C,W,W,W,W,S,S,W,W,S,S,W,S,S,C,S,S,C3
C,S,C,S,C,C,W,S,S,S,S,C,W,C,W,W,W,W,C,C,W,W,S,C,C,C,C,C,C,S,W,S,C,W,W,C,C,S,W,W,C,C,W,W,C,S,C,S,C,C,C0
W,W,W,W,W,W,S,W,S,W,W,W,W,W,W,W,W,W,C,W,W,W,W,W,W,W,W,W,W,S,W,W,W,W,W,C,W,W,W,W,W,C,S,W,C,S,C,C,C,C,C1
C,S,W,C,C,S,S,C,C,C,W,C,W,C,S,W,W,W,S,S,S,C,W,C,C,C,S,C,C,W,W,S,C,W,W,S,S,W,W,W,W,W,W,S,S,W,W,S,W,S,C0
C,C,S,S,W,C,W,S,S,C,C,S,W,W,W,W,S,W,C,S,S,W,S,C,C,S,S,C,C,C,C,C,C,W,C,S,W,C,S,S,S,C,C,S,C,C,W,S,C,C,C1
S,W,S,W,S,W,W,W,S,W,S,S,W,W,S,W,W,W,W,C,W,W,W,W,W,S,W,W,W,S,W,S,W,W,W,W,W,W,W,W,S,S,S,W,S,C,S,W,W,W,C2
W,W,W,S,W,W,W,W,S,C,C,S,S,W,C,W,S,C,W,S,C,S,S,C,W,W,W,W,W,W,W,W,W,W,W,C,S,C,S,C,C,W,C,S,W,W,S,C,W,W,C1
S,S,S,W,S,C,S,C,C,C,C,S,C,W,S,S,W,C,W,W,S,S,C,S,W,C,S,S,C,C,S,C,C,C,S,C,W,C,C,S,C,S,W,W,C,W,S,S,S,S,C0
S,S,S,C,C,S,C,C,S,S,C,S,C,W,W,W,C,S,W,S,S,W,W,W,C,W,S,S,S,C,C,S,S,C,S,W,W,C,C,W,S,C,S,S,S,C,S,C,C,C,C0
S,W,W,W,W,W,S,S,S,W,C,W,S,S,W,C,W,S,C,S,W,W,W,S,W,C,C,S,W,W,W,W,C,C,S,W,W,W,S,W,S,W,W,C,W,W,W,S,W,W,C2
S,S,W,W,W,W,W,C,W,W,S,W,W,W,W,S,C,S,S,W,S,C,W,W,W,C,C,W,C,W,W,W,W,W,S,C,C,W,S,S,S,S,W,S,W,S,S,C,W,C,C3
W,W,W,C,C,C,C,W,W,S,W,W,W,S,S,S,C,W,W,C,C,S,W,S,S,S,C,C,S,W,S,S,S,W,W,S,S,C,W,W,S,S,W,W,C,W,W,W,W,S,C2
W,C,W,W,W,W,S,W,W,S,C,W,C,C,S,W,C,S,C,C,S,C,W,W,S,W,S,C,S,W,S,S,C,W,S,W,W,W,S,C,W,S,W,S,S,W,W,C,S,C,C0
S,S,W,S,W,W,C,S,S,C,S,W,W,W,C,W,W,S,W,W,W,S,S,W,C,W,W,W,W,W,S,W,W,W,C,S,C,W,W,W,S,S,W,W,S,S,W,W,W,C,C3
S,W,S,W,W,W,W,W,S,S,S,S,W,S,W,W,S,C,S,W,W,W,W,C,S,W,W,W,W,C,W,W,S,S,W,S,S,S,S,W,W,W,C,S,W,W,W,C,S,C,C2
C,S,C,C,C,W,S,C,W,W,W,W,S,C,S,S,C,S,C,W,C,S,S,W,C,S,W,W,C,S,S,W,C,W,W,C,W,S,S,C,W,W,W,W,W,W,W,W,W,W,C1
S,S,W,S,W,W,W,W,W,S,S,S,W,W,W,W,S,W,S,W,S,W,W,W,W,W,S,W,S,S,W,S,W,W,C,W,S,S,C,S,W,S,W,W,W,W,W,W,W,W,C2
C,W,W,W,W,S,S,S,W,W,C,W,S,S,S,W,S,S,S,W,C,W,W,W,S,W,S,S,S,W,S,W,S,S,W,W,W,S,S,W,W,C,C,C,S,C,W,W,W,C,C2
S,W,C,W,W,W,W,S,W,C,W,W,S,S,S,W,W,W,W,C,W,C,S,W,W,C,S,W,S,S,W,S,S,S,W,S,S,W,W,W,S,S,W,S,C,W,S,S,W,W,C2
C,W,W,C,W,C,C,S,W,W,W,W,C,S,W,W,W,W,W,S,W,W,S,S,C,C,S,S,S,W,W,S,W,C,W,S,W,C,C,W,W,S,S,W,W,W,C,S,C,C,C3
C,W,W,W,S,C,C,S,W,W,S,S,W,W,W,W,W,W,W,S,W,S,S,S,S,W,W,W,W,W,W,S,W,C,W,C,W,S,C,S,S,S,W,C,S,W,W,W,W,C,C2
W,S,S,S,W,W,C,W,S,W,C,S,W,C,W,S,W,C,C,C,C,C,S,W,C,W,S,W,W,C,C,W,S,W,W,W,C,S,W,W,W,C,W,W,W,C,W,W,W,W,C3
W,S,W,W,S,W,S,S,S,S,S,C,W,C,W,C,W,W,W,S,W,W,S,C,W,C,S,W,C,W,W,W,S,W,C,W,W,W,S,W,S,S,S,S,W,W,W,S,S,S,C2
C,S,W,S,W,S,C,C,C,W,C,C,W,W,S,W,C,W,W,S,S,W,W,W,W,C,S,S,C,C,W,W,W,W,W,S,W,W,W,C,S,S,S,S,C,W,W,C,S,C,C0
W,S,W,C,W,C,W,C,W,W,S,S,S,S,S,S,W,C,C,W,W,W,C,C,W,W,C,W,S,W,W,S,W,S,W,W,C,W,C,W,W,S,S,W,W,S,W,C,S,W,C2
S,W,C,W,W,S,S,S,W,W,S,W,W,W,W,W,W,C,C,W,W,S,W,W,S,C,W,C,W,C,W,W,S,W,W,W,S,W,W,W,S,W,W,W,C,W,W,W,C,S,C3
W,W,W,W,W,W,W,W,W,W,W,C,W,W,W,W,S,C,S,C,C,S,W,S,C,W,W,W,W,S,S,S,W,W,W,W,C,C,W,S,S,S,S,W,S,S,S,W,W,W,C1
W,W,S,W,W,W,W,C,C,W,W,W,W,W,W,W,S,S,W,S,W,S,S,W,S,S,W,S,S,W,W,S,C,C,W,W,W,S,W,W,W,W,W,W,S,W,S,W,W,S,C3
C,S,W,S,C,S,S,C,S,W,S,S,S,S,S,C,C,S,C,W,C,W,W,C,S,S,C,S,S,C,W,W,W,W,W,W,C,C,S,W,W,C,C,C,C,W,W,S,C,S,C0
S,S,W,C,S,S,C,W,S,S,C,C,S,S,W,W,W,W,C,S,C,C,W,S,S,C,C,C,S,W,C,S,W,W,W,S,C,W,W,S,C,S,C,C,C,S,W,W,C,S,C0
C,W,C,S,W,C,S,S,W,W,W,W,W,W,C,C,S,S,C,C,C,S,C,C,W,W,W,W,W,W,S,W,S,C,W,S,S,W,W,S,S,S,W,S,W,S,S,W,S,C,C0
W,W,W,S,C,W,W,W,W,W,S,W,W,W,C,W,W,C,S,S,W,W,S,W,S,S,S,S,W,W,S,C,W,S,C,S,W,S,S,W,C,W,S,W,W,C,S,W,W,S,C3
W,W,C,S,W,S,W,S,W,W,W,S,W,S,W,W,S,W,W,W,S,W,W,S,S,W,S,S,S,C,W,W,W,S,W,W,W,W,S,W,W,W,C,C,S,S,C,W,W,W,C3
W,S,S,C,S,C,S,C,S,W,W,W,S,W,S,W,C,S,C,S,W,W,S,W,W,W,W,S,C,C,C,S,C,W,C,S,C,S,S,W,W,C,S,W,W,C,C,W,S,W,C0
W,W,W,S,W,W,W,C,S,S,C,C,S,C,C,S,W,C,W,S,S,S,W,W,W,W,W,C,W,W,W,W,C,S,S,W,W,W,W,S,W,W,W,C,S,C,W,C,S,W,C3
C,C,S,W,S,W,W,W,S,S,S,W,S,W,W,W,S,W,W,S,W,S,W,S,S,W,W,W,W,W,C,C,S,S,W,W,W,W,S,W,W,S,W,S,C,C,S,S,W,W,C2
S,W,S,W,C,C,C,C,C,W,C,S,S,S,C,C,C,C,C,W,S,C,W,C,W,W,W,W,W,W,W,W,W,W,W,W,W,C,W,W,C,W,W,W,W,W,W,W,W,W,C1
S,W,S,W,W,C,S,C,S,W,W,S,S,S,S,C,W,W,S,S,C,S,W,C,S,W,W,S,S,W,C,W,S,W,W,C,W,S,W,S,S,S,S,C,S,C,S,C,W,W,C0
W,W,S,W,S,C,W,S,W,W,W,S,W,C,W,W,C,W,C,C,W,S,W,C,W,W,C,W,C,S,W,W,C,W,S,W,S,W,C,W,W,W,S,W,W,W,W,W,W,S,C3
C,S,C,C,S,C,C,S,C,W,S,S,S,W,S,C,W,W,W,W,C,C,S,W,W,W,C,S,W,W,W,W,W,W,S,W,W,S,W,W,C,S,C,C,C,S,C,S,S,C,C0
S,C,W,C,C,S,C,S,C,C,C,C,C,S,W,S,S,C,S,S,W,S,W,S,S,C,C,S,C,W,C,C,W,C,C,W,S,C,S,C,C,W,S,W,W,W,C,S,W,W,C0
W,W,W,S,W,W,W,C,C,S,W,S,C,W,C,W,W,C,C,W,C,C,C,C,C,S,S,C,C,C,W,C,W,S,W,W,W,W,W,C,S,C,W,W,S,C,C,S,S,S,C1
W,W,W,W,S,W,C,W,W,S,S,W,W,C,W,W,S,W,S,W,W,C,C,S,W,W,W,W,C,W,S,W,W,S,W,S,C,S,W,W,C,W,C,S,W,W,W,C,S,W,C3
W,C,W,W,C,C,W,C,C,W,W,C,C,W,S,W,W,W,C,W,W,C,C,S,W,C,W,S,W,S,C,S,C,C,C,C,S,S,S,C,W,S,W,W,C,S,W,S,S,S,C0
S,W,W,W,W,S,W,W,S,C,W,S,C,S,S,W,W,C,W,W,W,C,W,W,S,S,W,S,S,W,W,W,W,S,W,W,W,W,S,W,S,C,W,W,S,C,W,S,W,S,C3
S,S,C,S,W,W,W,W,C,W,S,W,W,W,W,W,C,W,W,W,S,W,W,W,S,C,S,S,S,S,S,S,W,W,W,W,W,W,W,C,W,S,C,C,C,W,W,W,S,C,C3
